TransactionID,Date,MerchantID,CategoryID,Debit_Amount
TX2022239,2022-02-05,M8,C3,275.66
TX2022241,2022-02-06,M1,C1,212.15
TX2022244,2022-02-06,M2,C2,349.76
TX2022245,2022-02-07,M5,C3,1373.55
TX2022246,2022-02-07,M3,C2,988.55
TX2022247,2022-02-07,M2,C2,1008.2
TX2022248,2022-02-07,M8,C3,1333.4
TX2022249,2022-02-07,M1,C1,1441.18
TX2022250,2022-02-07,M2,C2,815.78
TX2022251,2022-02-07,M3,C2,122487.8929
TX2022252,2022-02-07,M2,C2,707.29
TX2022254,2022-02-08,M7,C4,897.91
TX2022256,2022-02-08,M6,C4,1147.28
TX2022257,2022-02-08,M4,C3,924.35
TX2022258,2022-02-08,M6,C4,1063.51
TX2022260,2022-02-09,M2,C2,545.1
TX2022265,2022-02-09,M1,C1,925.62
TX2022266,2022-02-09,M1,C1,878.52
TX2022270,2022-02-10,M4,C3,1152.32
TX2022272,2022-02-10,M3,C2,1024.19
TX2022273,2022-02-10,M7,C4,117867.0244
TX2022274,2022-02-10,M1,C1,938.15
TX2022276,2022-02-10,M1,C1,1224.36
TX2022277,2022-02-10,M3,C2,1408.33
TX2022280,2022-02-11,M5,C3,461.91
TX2022281,2022-02-11,M2,C2,61.76
TX2022282,2022-02-11,M7,C4,487.49
TX2022283,2022-02-11,M4,C3,959.98
TX2022286,2022-02-12,M5,C3,477.1
TX2022287,2022-02-12,M7,C4,467.62
TX2022291,2022-02-12,M2,C2,1105.59
TX2022296,2022-02-13,M4,C3,1104.4
TX2022298,2022-02-14,M6,C4,96.61
TX2022303,2022-02-14,M6,C4,145681.0545
TX2022304,2022-02-15,M6,C4,1208.63
TX2022305,2022-02-15,M8,C3,1052.98
TX2022306,2022-02-15,M6,C4,52.95
TX2022308,2022-02-15,M0,C1,560.75
TX2022310,2022-02-16,M3,C2,1365.22
TX2022312,2022-02-16,M2,C2,124.76
TX2022313,2022-02-17,M3,C2,82.44
TX2022314,2022-02-17,M0,C1,125680.2238
TX2022315,2022-02-17,M6,C4,842.1
TX2022319,2022-02-18,M5,C3,709.23
TX2022322,2022-02-18,M2,C2,538.11
TX2022325,2022-02-19,M5,C3,1402.89
TX2022326,2022-02-20,M4,C3,600.76
TX2022327,2022-02-20,M0,C1,941.29
TX2022330,2022-02-20,M7,C4,1213.85
TX2022331,2022-02-20,M1,C1,1069.07
TX2022334,2022-02-21,M1,C1,156.22
TX2022335,2022-02-21,M5,C3,163811.0928
TX2022336,2022-02-21,M0,C1,575.85
TX2022337,2022-02-22,M8,C3,416.18
TX2022339,2022-02-22,M2,C2,1061.65
TX2022341,2022-02-22,M3,C2,1454.47
TX2022344,2022-02-22,M4,C3,401.26
TX2022345,2022-02-23,M3,C2,462.74
TX2022346,2022-02-23,M4,C3,292.37
TX2022347,2022-02-23,M5,C3,75.11
TX2022348,2022-02-23,M5,C3,939.2
TX2022352,2022-02-24,M7,C4,1422.59
TX2022355,2022-02-24,M1,C1,78.37
TX2022360,2022-02-25,M2,C2,666.37
TX2022361,2022-02-25,M6,C4,471.73
TX2022362,2022-02-26,M5,C3,162.02
TX2022363,2022-02-26,M2,C2,1350.11
TX2022364,2022-02-26,M4,C3,1150.68
TX2022370,2022-02-28,M0,C1,762.32
TX2022373,2022-03-01,M1,C1,346.42
TX2022374,2022-03-01,M6,C4,838.85
TX2022375,2022-03-02,M7,C4,843.5
TX2022376,2022-03-02,M4,C3,90.19
TX2022378,2022-03-02,M8,C3,884.53
TX2022380,2022-03-02,M6,C4,397.93
TX2022381,2022-03-02,M1,C1,1244.66
TX2022382,2022-03-02,M8,C3,105606.3675
TX2022383,2022-03-02,M1,C1,1148.32
TX2022384,2022-03-02,M0,C1,1445.91
TX2022387,2022-03-03,M0,C1,560.73
TX2022390,2022-03-03,M2,C2,1190.66
TX2022392,2022-03-03,M0,C1,320.79
TX2022393,2022-03-04,M5,C3,151345.3753
TX2022398,2022-03-05,M1,C1,1386.69
TX2022402,2022-03-05,M7,C4,1376.58
TX2022415,2022-03-07,M6,C4,395.54
TX2022417,2022-03-07,M3,C2,175626.6261
TX2022420,2022-03-08,M2,C2,151629.7808
TX2022421,2022-03-09,M3,C2,609.45
TX2022423,2022-03-09,M2,C2,56.88
TX2022424,2022-03-09,M6,C4,99.52
TX2022425,2022-03-09,M5,C3,668.5
TX2022426,2022-03-09,M3,C2,124948.6861
TX2022429,2022-03-10,M8,C3,110080.791
TX2022430,2022-03-10,M1,C1,232.17
TX2022431,2022-03-10,M8,C3,400.75
TX2022432,2022-03-10,M1,C1,998.72
TX2022433,2022-03-10,M3,C2,870.59
TX2022434,2022-03-10,M5,C3,256.64
TX2022435,2022-03-11,M6,C4,464.76
TX2022436,2022-03-11,M4,C3,1471.82
TX2022437,2022-03-11,M6,C4,723.18
TX2022438,2022-03-11,M0,C1,301.42
TX2022440,2022-03-11,M2,C2,278.93
TX2022442,2022-03-12,M2,C2,553.8
TX2022443,2022-03-12,M4,C3,494.52
TX2022446,2022-03-13,M5,C3,1147.89
TX2022447,2022-03-13,M2,C2,1488.3
TX2022450,2022-03-13,M2,C2,785.69
TX2022454,2022-03-14,M0,C1,665.68
TX2022461,2022-03-15,M1,C1,1256.02
TX2022463,2022-03-15,M2,C2,1199.28
TX2022464,2022-03-16,M7,C4,1485.15
TX2022466,2022-03-16,M1,C1,647.69
TX2022467,2022-03-16,M6,C4,1470.33
TX2022468,2022-03-16,M3,C2,1324.63
TX2022471,2022-03-17,M6,C4,154.83
TX2022477,2022-03-18,M8,C3,897.91
TX2022480,2022-03-18,M2,C2,359.61
TX2022482,2022-03-18,M3,C2,1248.9
TX2022485,2022-03-19,M5,C3,797.4
TX2022486,2022-03-19,M0,C1,166021.2302
TX2022495,2022-03-21,M5,C3,596.82
TX2022496,2022-03-21,M2,C2,1143.25
TX2022497,2022-03-21,M2,C2,1038.51
TX2022498,2022-03-21,M2,C2,140455.7133
TX2022499,2022-03-21,M8,C3,510.75
TX2022500,2022-03-21,M0,C1,901.61
TX2022501,2022-03-21,M0,C1,886.83
TX2022502,2022-03-21,M7,C4,655.65
TX2022503,2022-03-21,M2,C2,204.66
TX2022505,2022-03-21,M5,C3,1264.35
TX2022506,2022-03-21,M1,C1,1147.17
TX2022511,2022-03-22,M5,C3,728.72
TX2022512,2022-03-22,M2,C2,249.35
TX2022517,2022-03-24,M7,C4,785.77
TX2022520,2022-03-24,M8,C3,281.25
TX2022521,2022-03-25,M1,C1,1386.64
TX2022522,2022-03-25,M7,C4,726.24
TX2022523,2022-03-25,M5,C3,601.67
TX2022524,2022-03-25,M6,C4,151453.0931
TX2022525,2022-03-25,M2,C2,833.64
TX2022526,2022-03-25,M7,C4,112499.3891
TX2022527,2022-03-26,M3,C2,1133.58
TX2022532,2022-03-26,M1,C1,579.18
TX2022535,2022-03-26,M8,C3,1220.93
TX2022536,2022-03-26,M7,C4,190.15
TX2022537,2022-03-26,M4,C3,84.13
TX2022538,2022-03-27,M8,C3,316.4
TX2022540,2022-03-27,M0,C1,455.41
TX2022541,2022-03-27,M0,C1,157199.4312
TX2022542,2022-03-27,M0,C1,109925.5659
TX2022543,2022-03-27,M3,C2,290.36
TX2022545,2022-03-27,M8,C3,137.7
TX2022547,2022-03-28,M6,C4,1346.64
TX2022549,2022-03-28,M2,C2,457.67
TX2022550,2022-04-01,M2,C2,1328.08
TX2022551,2022-04-01,M6,C4,1227.61
TX2022553,2022-04-01,M0,C1,1153.96
TX2022556,2022-04-02,M1,C1,586.71
TX2022559,2022-04-03,M1,C1,1263.09
TX2022560,2022-04-03,M3,C2,147692.7631
TX2022561,2022-04-03,M1,C1,1485.37
TX2022562,2022-04-03,M7,C4,430.57
TX2022564,2022-04-03,M4,C3,939.23
TX2022566,2022-04-04,M8,C3,1199.05
TX2022567,2022-04-04,M8,C3,775.12
TX2022571,2022-04-04,M8,C3,1318.3
TX2022573,2022-04-04,M5,C3,795.89
TX2022574,2022-04-05,M6,C4,196.66
TX2022575,2022-04-05,M8,C3,1185.99
TX2022576,2022-04-05,M0,C1,490.99
TX2022577,2022-04-05,M2,C2,372.34
TX2022578,2022-04-05,M6,C4,182789.9178
TX2022583,2022-04-07,M5,C3,170167.3008
TX2022584,2022-04-07,M6,C4,706.38
TX2022588,2022-04-07,M2,C2,1404.53
TX2022589,2022-04-07,M5,C3,135.51
TX2022591,2022-04-07,M5,C3,62.53
TX2022594,2022-04-08,M6,C4,136.18
TX2022598,2022-04-08,M2,C2,1447.76
TX2022599,2022-04-09,M6,C4,346.46
TX2022602,2022-04-09,M8,C3,494.25
TX2022608,2022-04-09,M0,C1,1021.67
TX2022609,2022-04-10,M1,C1,792.15
TX2022613,2022-04-10,M1,C1,1387.82
TX2022617,2022-04-11,M0,C1,110783.149
TX2022618,2022-04-11,M0,C1,55.34
TX2022619,2022-04-11,M5,C3,257.43
TX2022620,2022-04-12,M5,C3,1251.89
TX2022621,2022-04-12,M0,C1,160.44
TX2022622,2022-04-12,M3,C2,108.05
TX2022623,2022-04-12,M1,C1,127899.7643
TX2022626,2022-04-12,M1,C1,923.44
TX2022629,2022-04-13,M7,C4,221.52
TX2022630,2022-04-13,M8,C3,1292.67
TX2022631,2022-04-13,M6,C4,1187.56
TX2022632,2022-04-13,M0,C1,495.78
TX2022634,2022-04-15,M2,C2,461.11
TX2022635,2022-04-15,M8,C3,1319.06
TX2022639,2022-04-15,M6,C4,666.1
TX2022640,2022-04-15,M8,C3,1223.68
TX2022641,2022-04-15,M7,C4,683.75
TX2022643,2022-04-16,M0,C1,1112.14
TX2022644,2022-04-16,M0,C1,842.13
TX2022647,2022-04-16,M3,C2,850.8
TX2022648,2022-04-16,M2,C2,141.28
TX2022649,2022-04-16,M3,C2,1494.27
TX2022652,2022-04-17,M8,C3,184.98
TX2022653,2022-04-17,M7,C4,538.9
TX2022655,2022-04-17,M7,C4,1383.57
TX2022658,2022-04-18,M8,C3,764.97
TX2022660,2022-04-18,M3,C2,194885.5886
TX2022661,2022-04-19,M8,C3,1393.46
TX2022662,2022-04-19,M3,C2,818.27
TX2022663,2022-04-19,M1,C1,1270.86
TX2022665,2022-04-19,M7,C4,420.84
TX2022666,2022-04-20,M2,C2,748.28
TX2022667,2022-04-21,M0,C1,1313.2
TX2022671,2022-04-21,M4,C3,1300.81
TX2022672,2022-04-21,M8,C3,1058.23
TX2022673,2022-04-21,M2,C2,577.0
TX2022675,2022-04-22,M7,C4,1141.27
TX2022676,2022-04-22,M2,C2,413.05
TX2022680,2022-04-22,M4,C3,613.32
TX2022684,2022-04-22,M3,C2,665.89
TX2022685,2022-04-23,M7,C4,290.03
TX2022687,2022-04-23,M2,C2,1481.4
TX2022688,2022-04-23,M0,C1,1380.16
TX2022689,2022-04-23,M3,C2,213.08
TX2022690,2022-04-23,M5,C3,672.19
TX2022691,2022-04-23,M6,C4,500.48
TX2022692,2022-04-23,M8,C3,1227.59
TX2022696,2022-04-24,M3,C2,1263.86
TX2022702,2022-04-25,M2,C2,1401.47
TX2022703,2022-04-25,M6,C4,464.59
TX2022704,2022-04-25,M6,C4,142.18
TX2022705,2022-04-25,M6,C4,1287.57
TX2022706,2022-04-26,M8,C3,1114.02
TX2022707,2022-04-26,M0,C1,797.82
TX2022708,2022-04-26,M8,C3,989.84
TX2022709,2022-04-26,M5,C3,423.04
TX2022710,2022-04-26,M3,C2,858.72
TX2022711,2022-04-26,M8,C3,961.37
TX2022713,2022-04-26,M4,C3,285.08
TX2022715,2022-04-27,M5,C3,1333.76
TX2022720,2022-04-27,M4,C3,108.09
TX2022721,2022-04-27,M5,C3,178210.4802
TX2022722,2022-04-27,M8,C3,1086.71
TX2022723,2022-04-28,M4,C3,441.34
TX2022724,2022-04-28,M3,C2,453.37
TX2022725,2022-04-28,M5,C3,309.46
TX2022732,2022-04-28,M4,C3,944.69
TX2022736,2022-05-02,M4,C3,412.94
TX2022738,2022-05-02,M4,C3,1049.52
TX2022739,2022-05-02,M4,C3,903.56
TX2022742,2022-05-02,M7,C4,667.72
TX2022745,2022-05-03,M4,C3,491.72
TX2022753,2022-05-05,M8,C3,687.31
TX2022754,2022-05-05,M1,C1,1488.45
TX2022755,2022-05-05,M0,C1,117.05
TX2022757,2022-05-05,M8,C3,113726.4904
TX2022758,2022-05-05,M5,C3,673.74
TX2022759,2022-05-06,M7,C4,634.13
TX2022763,2022-05-07,M8,C3,858.4
TX2022765,2022-05-07,M8,C3,573.77
TX2022766,2022-05-07,M6,C4,768.44
TX2022767,2022-05-08,M3,C2,77.76
TX2022768,2022-05-08,M5,C3,586.68
TX2022769,2022-05-08,M0,C1,177592.8838
TX2022770,2022-05-08,M1,C1,893.16
TX2022775,2022-05-09,M1,C1,184024.9824
TX2022778,2022-05-09,M7,C4,252.36
TX2022780,2022-05-09,M8,C3,445.0
TX2022782,2022-05-10,M8,C3,169086.1035
TX2022785,2022-05-11,M6,C4,584.52
TX2022786,2022-05-11,M0,C1,443.38
TX2022787,2022-05-12,M8,C3,111507.7833
TX2022788,2022-05-12,M6,C4,831.27
TX2022791,2022-05-12,M8,C3,667.15
TX2022792,2022-05-13,M8,C3,506.73
TX2022794,2022-05-13,M6,C4,1201.17
TX2022797,2022-05-13,M5,C3,931.04
TX2022798,2022-05-13,M8,C3,740.66
TX2022799,2022-05-14,M7,C4,1232.07
TX2022801,2022-05-14,M0,C1,322.87
TX2022802,2022-05-14,M4,C3,1001.73
TX2022803,2022-05-14,M4,C3,1249.44
TX2022804,2022-05-14,M3,C2,803.48
TX2022806,2022-05-15,M8,C3,728.24
TX2022808,2022-05-15,M5,C3,89.33
TX2022811,2022-05-16,M5,C3,458.88
TX2022812,2022-05-16,M5,C3,1128.35
TX2022814,2022-05-17,M8,C3,1400.42
TX2022818,2022-05-17,M1,C1,752.71
TX2022824,2022-05-18,M6,C4,108.62
TX2022828,2022-05-19,M6,C4,1238.72
TX2022829,2022-05-20,M5,C3,1217.53
TX2022833,2022-05-21,M3,C2,150.35
TX2022836,2022-05-21,M0,C1,833.82
TX2022838,2022-05-22,M0,C1,671.27
TX2022839,2022-05-22,M8,C3,156425.8745
TX2022840,2022-05-22,M6,C4,1144.82
TX2022842,2022-05-23,M6,C4,322.8
TX2022843,2022-05-23,M1,C1,158782.0194
TX2022847,2022-05-24,M4,C3,130.17
TX2022849,2022-05-24,M6,C4,612.1
TX2022850,2022-05-24,M8,C3,1364.89
TX2022856,2022-05-26,M3,C2,644.83
TX2022858,2022-05-26,M1,C1,1496.39
TX2022859,2022-05-26,M7,C4,294.6
TX2022861,2022-05-26,M3,C2,1120.21
TX2022862,2022-05-26,M8,C3,221.13
TX2022865,2022-05-26,M4,C3,1034.23
TX2022866,2022-05-26,M3,C2,1040.62
TX2022867,2022-05-27,M5,C3,1301.69
TX2022868,2022-05-27,M1,C1,188.44
TX2022869,2022-05-27,M6,C4,1315.9
TX2022872,2022-05-27,M7,C4,502.25
TX2022873,2022-05-28,M8,C3,100973.9424
TX2022874,2022-05-28,M7,C4,934.32
TX2022875,2022-06-01,M0,C1,105049.4001
TX2022877,2022-06-01,M0,C1,1201.24
TX2022878,2022-06-02,M1,C1,1303.73
TX2022879,2022-06-02,M6,C4,873.78
TX2022880,2022-06-02,M6,C4,572.96
TX2022881,2022-06-02,M7,C4,507.32
TX2022886,2022-06-03,M2,C2,731.86
TX2022887,2022-06-03,M1,C1,1351.8
TX2022888,2022-06-03,M3,C2,1423.45
TX2022889,2022-06-04,M3,C2,118.49
TX2022890,2022-06-04,M8,C3,851.06
TX2022891,2022-06-04,M2,C2,493.51
TX2022892,2022-06-04,M4,C3,115826.446
TX2022893,2022-06-04,M4,C3,116.69
TX2022897,2022-06-04,M5,C3,345.5
TX2022898,2022-06-04,M1,C1,906.39
TX2022900,2022-06-05,M5,C3,383.52
TX2022901,2022-06-05,M8,C3,1417.96
TX2022902,2022-06-05,M3,C2,807.61
TX2022904,2022-06-05,M8,C3,1425.56
TX2022905,2022-06-05,M5,C3,1108.27
TX2022908,2022-06-06,M4,C3,147.21
TX2022910,2022-06-06,M8,C3,271.29
TX2022912,2022-06-06,M0,C1,1443.78
TX2022913,2022-06-06,M1,C1,124011.7211
TX2022914,2022-06-07,M1,C1,1093.88
TX2022917,2022-06-07,M2,C2,980.48
TX2022918,2022-06-07,M2,C2,199737.6021
TX2022919,2022-06-07,M4,C3,352.69
TX2022921,2022-06-08,M7,C4,1229.21
TX2022924,2022-06-09,M1,C1,816.0
TX2022925,2022-06-10,M6,C4,1056.66
TX2022926,2022-06-10,M7,C4,61.42
TX2022928,2022-06-10,M2,C2,627.03
TX2022929,2022-06-10,M3,C2,687.26
TX2022930,2022-06-10,M3,C2,857.69
TX2022934,2022-06-11,M7,C4,1387.15
TX2022935,2022-06-11,M2,C2,1270.4
TX2022937,2022-06-11,M7,C4,356.1
TX2022938,2022-06-12,M7,C4,292.85
TX2022943,2022-06-12,M8,C3,1438.55
TX2022945,2022-06-12,M1,C1,463.12
TX2022946,2022-06-12,M0,C1,1101.08
TX2022947,2022-06-12,M6,C4,1360.19
TX2022951,2022-06-13,M6,C4,1262.6
TX2022953,2022-06-14,M8,C3,805.1
TX2022954,2022-06-14,M3,C2,260.27
TX2022955,2022-06-14,M5,C3,103.77
TX2022956,2022-06-15,M8,C3,738.28
TX2022958,2022-06-15,M8,C3,1414.26
TX2022959,2022-06-15,M5,C3,1177.46
TX2022960,2022-06-15,M0,C1,297.09
TX2022966,2022-06-16,M1,C1,164823.1311
TX2022968,2022-06-16,M4,C3,783.84
TX2022972,2022-06-18,M8,C3,563.98
TX2022974,2022-06-18,M5,C3,948.21
TX2022976,2022-06-19,M7,C4,1264.96
TX2022978,2022-06-19,M0,C1,1022.88
TX2022979,2022-06-20,M0,C1,265.93
TX2022980,2022-06-20,M6,C4,859.52
TX2022981,2022-06-20,M2,C2,1283.55
TX2022982,2022-06-20,M2,C2,1249.21
TX2022984,2022-06-20,M3,C2,1492.23
TX2022985,2022-06-21,M1,C1,288.47
TX2022987,2022-06-21,M7,C4,1143.26
TX2022988,2022-06-21,M1,C1,479.38
TX2022989,2022-06-21,M4,C3,1148.46
TX2022990,2022-06-22,M8,C3,658.31
TX2022992,2022-06-22,M2,C2,1354.02
TX2022993,2022-06-22,M5,C3,742.25
TX2022997,2022-06-23,M4,C3,284.61
TX20221000,2022-06-24,M8,C3,490.57
TX20221002,2022-06-24,M6,C4,1214.66
TX20221003,2022-06-24,M0,C1,298.52
TX20221004,2022-06-24,M4,C3,1101.07
TX20221009,2022-06-25,M7,C4,956.67
TX20221011,2022-06-26,M8,C3,1130.79
TX20221013,2022-06-26,M1,C1,1413.57
TX20221014,2022-06-26,M4,C3,315.08
TX20221015,2022-06-26,M8,C3,271.88
TX20221018,2022-06-26,M7,C4,1064.85
TX20221019,2022-06-27,M1,C1,1300.82
TX20221020,2022-06-27,M2,C2,165694.0578
TX20221023,2022-06-27,M8,C3,753.97
TX20221024,2022-06-27,M0,C1,368.91
TX20221025,2022-06-28,M7,C4,745.99
TX20221028,2022-06-28,M4,C3,1327.82
TX20221029,2022-06-28,M3,C2,490.53
TX20221030,2022-06-28,M6,C4,887.56
TX20221033,2022-06-28,M0,C1,133947.1716
TX20221035,2022-07-01,M6,C4,162832.0609
TX20221038,2022-07-01,M6,C4,535.16
TX20221040,2022-07-02,M5,C3,220.1
TX20221041,2022-07-02,M8,C3,430.28
TX20221042,2022-07-02,M4,C3,993.53
TX20221043,2022-07-02,M1,C1,135811.7984
TX20221044,2022-07-02,M1,C1,636.84
TX20221047,2022-07-03,M7,C4,172.16
TX20221048,2022-07-03,M5,C3,175028.8491
TX20221049,2022-07-03,M6,C4,1365.58
TX20221050,2022-07-03,M2,C2,92.78
TX20221052,2022-07-04,M7,C4,183.62
TX20221053,2022-07-04,M0,C1,292.16
TX20221058,2022-07-06,M6,C4,714.3
TX20221059,2022-07-06,M6,C4,327.77
TX20221061,2022-07-06,M3,C2,235.56
TX20221063,2022-07-06,M6,C4,336.59
TX20221067,2022-07-07,M8,C3,639.59
TX20221070,2022-07-08,M5,C3,881.03
TX20221071,2022-07-09,M7,C4,195235.4555
TX20221072,2022-07-09,M1,C1,1400.15
TX20221074,2022-07-09,M2,C2,978.4
TX20221075,2022-07-10,M1,C1,1274.43
TX20221076,2022-07-10,M2,C2,687.91
TX20221077,2022-07-10,M6,C4,1073.45
TX20221079,2022-07-10,M5,C3,294.81
TX20221080,2022-07-10,M3,C2,1323.66
TX20221082,2022-07-10,M4,C3,482.98
TX20221083,2022-07-10,M2,C2,1220.52
TX20221088,2022-07-11,M4,C3,264.02
TX20221090,2022-07-11,M1,C1,182747.8736
TX20221091,2022-07-11,M1,C1,945.06
TX20221092,2022-07-11,M5,C3,88.66
TX20221094,2022-07-12,M8,C3,747.76
TX20221095,2022-07-12,M3,C2,265.33
TX20221096,2022-07-12,M7,C4,396.23
TX20221097,2022-07-12,M5,C3,930.24
TX20221100,2022-07-12,M7,C4,308.26
TX20221102,2022-07-13,M7,C4,1143.94
TX20221103,2022-07-13,M7,C4,803.05
TX20221106,2022-07-13,M3,C2,1097.01
TX20221107,2022-07-13,M1,C1,274.26
TX20221108,2022-07-13,M8,C3,354.01
TX20221109,2022-07-14,M7,C4,573.19
TX20221112,2022-07-14,M8,C3,736.43
TX20221113,2022-07-15,M7,C4,181903.135
TX20221115,2022-07-15,M6,C4,536.08
TX20221122,2022-07-16,M8,C3,366.96
TX20221125,2022-07-16,M3,C2,122.62
TX20221127,2022-07-17,M3,C2,466.97
TX20221128,2022-07-18,M0,C1,1475.76
TX20221137,2022-07-19,M4,C3,591.85
TX20221139,2022-07-19,M1,C1,1284.2
TX20221140,2022-07-19,M6,C4,1161.87
TX20221141,2022-07-19,M6,C4,1225.32
TX20221142,2022-07-19,M0,C1,1389.63
TX20221143,2022-07-19,M6,C4,173441.4724
TX20221145,2022-07-20,M6,C4,1291.81
TX20221148,2022-07-20,M5,C3,1238.54
TX20221152,2022-07-20,M6,C4,1355.75
TX20221153,2022-07-20,M2,C2,505.2
TX20221156,2022-07-20,M4,C3,1285.56
TX20221160,2022-07-21,M7,C4,865.22
TX20221161,2022-07-21,M2,C2,122605.4966
